Guest_A;Guest_B
Makayla Chavez;William Reyes
Bryan Hicks;Mary Clements
Tonya Gonzalez;Robin Miller
Billy Rios;Natalie Carlson
Deborah Torres;Shannon Manning
Justin Romero;Jean Weber
Pamela Fleming;Anne Munoz
Luis Carlson;Deborah Torres
Destiny Fisher;Ashley Jarvis
Sarah Mitchell;Christopher Huff
Christopher Huff;Thomas Gonzalez
James Graham;Nicole Gonzalez
Justin Romero;Karen Brown
Kenneth King;Tyler Johnson DDS
Robert Rich;Jean Weber
Kristen Brooks;Marc Brown
Amy Mcgee;Robin Miller
Catherine Holden;Jane Wolf
Stephen Jones;Makayla Chavez
Alex Sanchez;Fernando Melton
Jessica Brown;Jacob Matthews
Casey Reyes;Sean Wise
Michael Parker;Jose Mata
Mary Williams;Joanna Roman
Robert Bauer;James Graham
Sarah Gutierrez;Theresa Hernandez
Sarah Pruitt;Thomas Gonzalez
William Reyes;Ricky Bonilla
Jordan Foley;Scott Mcguire
Dr. Ryan Garcia;Ethan Johnson
Eric Jones;Denise Walker
Shawn Davenport;Kimberly Snyder
Frank Gonzalez;Marc Brown
Candice Durham;Michelle Giles
Tammy Sherman;Christopher Huff
Michele Alexander;Claire Collins
Aaron Perry;Jose Mata
Amy Mcgee;Kenneth King
Michele Alexander;Thomas Gonzalez
Anne Munoz;Amy Mcgee
Tammy Sherman;Luis Le
Wayne Silva;Andrea Larsen
James Lee;Mrs. Sue Richards
Brianna Osborn;Mariah Mckinney
Jamie Raymond;James Lee
Candice Durham;Denise Nelson
Mary Clements;Fernando Melton
Robert Washington;Timothy Kelley
Jose Mata;Theodore Ramos
Patrick Rosales;Glenn Bailey
Steven Stewart;Gabriel Watson
Holly Parker;Robert Bauer
Kenneth King;Sarah Mitchell
Ashley Kennedy;Casey Reyes
Christopher Collins;Robert Martin MD
Bryan Hicks;Gabriel Watson
Cindy Davila;Brittney Braun
Joseph Ross;Christopher Huff
Matthew Hanson;Jacqueline Choi
Mary Clements;Kenneth Ellis II
Shelby Petersen;Michael Morgan
Tamara Franco;Kimberly Sosa
Kristen Brooks;Shawn Davenport
Ethan Johnson;Sydney Patterson
Kimberly Sosa;Benjamin Burke
Pamela Fleming;Marc Brown
Chris Alvarez;Rebecca Mullins
Kevin Mathews;Brianna Osborn
Jane Wolf;Joe Simmons
Justin Romero;Catherine Holden
Mary Franco;Stephen Massey
Aaron Ballard MD;Stephanie Farmer MD
Nicole Gonzalez;Robert Bauer
Jaime Fisher;Robert Yang
Luis Le;Michael Robinson
Catherine Holden;Holly Parker
Karen Brown;Nicole Gonzalez
Joseph Proctor;Allison Johnson
Zachary Anderson;Robert Bauer
Casey Thomas;Casey Walker
Billy Rios;Ethan Johnson
Stephen Massey;Karen Brown
Whitney Lyons;Kristen Brooks
Alex Sanchez;Ann Collins
Dawn Pineda;Karen Perry
Vincent Hickman;Joseph Nguyen
Cindy Davila;Thomas Gonzalez
Patrick Rosales;Karen Johnson
Andrea Larsen;Cindy Davila
Kristen Brooks;Ann Collins
Melanie Cunningham;Kristen Brooks
Sydney Patterson;Luis Le
Aaron Perry;Whitney Lyons
Makayla Chavez;Daniel Cortez
Allison Johnson;Melanie Cunningham
Alexis Medina;Jason Williamson
Shawn Davenport;Andrew Martin
Natalie Carlson;Cindy Davila
Robert Yang;Casey Reyes
Thomas Gonzalez;Mary Williams
Theresa Hernandez;Breanna Hernandez
Theresa Hernandez;Daniel Johnson
Timothy Kelley;Jacqueline Mathews
Levi Carr;Glenn Bailey
Joe Simmons;Fernando Melton
Karen Franco;Mary Campbell
Andrew Martin;Jordan Foley
Anne Munoz;Preston Jackson
Olivia Leonard;Alex Sanchez
Ashley Kennedy;Sydney Patterson
Anthony DDS;Joseph Brown
Ms. Kristina Edwards MD;Patrick Wright
Jacob Matthews;Andrea Larsen
Ann Collins;Luis Hines
David Reid;Sarah Gutierrez
Karen Perry;Denise Carey
Terry Monroe;Jason Gill
Dawn Pineda;Fernando Melton
Heather Mack;Denise Nelson
Glenn Bailey;Daniel Williams
Dawn Pineda;Denise Walker
Jeffery White;Jonathan Meyers
Jimmy Sutton;Terry Carey
Michael Powell;Makayla Chavez
Stephen Wells;Billy Gordon
Andrea Larsen;Shawn Williams
Mary Franco;Angela Benton
Jessica Brown;Catherine Holden
Jacqueline Bailey;Brittney Braun
Matthew Hanson;Mary Clements
Shawn Rubio;Frank Finley
Erica Hines;Anthony Ross
Meghan Jackson;Lee Neal
Kimberly Nelson;James Lee
Sarah Mason;Rebecca Mullins
Levi Newman;Whitney Lyons
Wesley Evans;Kimberly Nelson
Wayne Silva;Shelly Burnett
Anthony Neal;Nicole Gonzalez
Michael PhD;Benjamin Ross
Steven Stewart;Anne Mckinney
Robert Yang;Rebecca Mullins
Jacqueline Mathews;Anthony DDS
Kimberly Sosa;Jessica Finley
