Guest_A;Guest_B
Ashley Kennedy;Mary Franco
Thomas Moody;Benjamin Burke
Anthony Davis;Jose Mata
Casey Thomas;Sean Martinez
Patrick Rosales;Vanessa Richardson
Mary Clements;Rebecca Mullins
Patrick Humphrey;Jessica Finley
Melanie Cunningham;Kevin Mathews
Jane Wolf;Nicole Gonzalez
Jacqueline Choi;Brandy Dalton
Daniel Williams;Joanna Roman
Christopher Cox;Aaron Ballard MD
Jordan Foley;Scott Mcguire
Tyler Johnson DDS;Robert Rich
Michael Parker;Vanessa Richardson
Melanie Howard;Jane Wolf
Joseph Nguyen;James Lee
Melanie Howard;Michael Robinson
Jonathan Meyers;Shawn Davenport
Sarah Pruitt;Mrs. Melanie Evans
Michael Robinson;Heather Mack
Allison Johnson;Richard Allen
Alexis Medina;Benjamin Burke
Brandy Bolton;David Miles
Mrs. Melanie Evans;Casey Thomas
Kristen Brooks;Jeremy Zimmerman
Joanna Roman;Shelly Armstrong
Jacob Matthews;Alex Sanchez
Tammy Sherman;Casey Reyes
Jason Mason;Chris Alvarez
Kimberly Sosa;Jane Wolf
Joseph Ross;Frank Gonzalez
Robert Yang;Bryan Hicks
Andrea Hines;Sean Wise
Jeffrey Nelson;Chris Alvarez
Matthew Hanson;Shawn Rubio
Cindy Davila;Marcus Carey
Michele Alexander;Brandy Bolton
Jeffrey Nelson;Anthony Davis
Aaron Perry;Jessica Zavala
Jane Wolf;Casey Thomas
Casey Reyes;Brenda King
Tonya Gonzalez;Theodore Ramos
Daniel Newman;Bryan Hicks
Scott Mcguire;Michael Parker
Robert Yang;Joseph Ross
Levi Carr;Ann Collins
Stephen Massey;Mariah Mckinney
Anthony Ross;Robert Bauer
Stephanie Farmer MD;Jason Mason
Claire Collins;Joseph Brown
David Miles;Erica Hines
Andrew Martin;Natalie Carlson
Kelly Wright;Robert Rich
William Reyes;David Miles
Heather Mack;Candice Durham
Patrick Rosales;Charles Leonard
Makayla Chavez;David Reid
Dennis Coffey;Thomas Gonzalez
Angela Benton;Kristen Brooks
Robin Miller;Andrew Martin
Cindy Davila;Jacqueline Choi
Breanna Massey;Benjamin Burke
Michele Alexander;Heather Mack
Brianna Osborn;Marcus Carey
David Miles;Ethan Johnson
Andrew Martin;Nicole Gonzalez
Bryan Hicks;Christopher Collins
Joseph Nguyen;Brianna Osborn
Robin Miller;Patrick Rosales
Daniel Tran;Dorothy Nelson
David Miles;Aaron Perry
Joanna Roman;Kelly Wright
Amy Mcgee;Charles Leonard
Tonya Gonzalez;Robert Martin MD
Jason Gill;Daniel Newman
Karen Johnson;Brian Gomez
Austin Spears;Kristen Brooks
Natalie Carlson;Ann Collins
Levi Carr;Deborah Torres
Melanie Cunningham;Jacqueline Choi
Brandy Bolton;Ms. Kristina Edwards MD
Ms. Kristina Edwards MD;Edward Sanchez PhD
Benjamin Burke;Billy Rios
Brittney Braun;Brianna Osborn
Shelby Petersen;Sarah Gutierrez
Joe Simmons;Mary Newman
Mary Cochran;Allison Johnson
Brianna Osborn;Emily White
Jacqueline Choi;Shawn Rubio
Holly Parker;Daniel Tran
Frank Gonzalez;Jonathon Williams
Deborah Torres;Thomas Gonzalez
Jessica Zavala;Aaron Perry
Kenneth Ellis II;Thomas Moody
Stephen Jones;Theodore Ramos
Meghan Jackson;Michael Williams
Karen Brown;Austin Spears
Preston Jackson;Robert Yang
Kenneth Ellis II;Frank Gonzalez
Ann Collins;Joseph Ross
Thomas Moody;Kevin Mathews
Kimberly Snyder;Kevin Mathews
Robert Bauer;Austin Spears
Casey Walker;Ann Collins
Brianna Osborn;Tyler Johnson DDS
Jonathon Williams;David Reid
Steven Stewart;Alexis Medina
Jacqueline Choi;Daniel Tran
Levi Carr;Shawn Davenport
Jonathon Williams;Katelyn Williams
Aaron Perry;Alexis Medina
Daniel Newman;Jessica Finley
Joseph Ross;Ms. Kristina Edwards MD
Michael Parker;Kevin Wells
Tyler Johnson DDS;Anthony Stevenson
Wesley Burnett;Catherine Holden
Vanessa Richardson;Mrs. Sue Richards
Preston Jackson;Darlene Nichols
Deanna Ruiz;Stephanie Farmer MD
Robert Bauer;Levi Carr
Kevin Wells;Mariah Mckinney
Sean Wise;Jimmy Sutton
Mary Clements;Katelyn Williams
Jessica Zavala;Melanie Cunningham
Kevin Wells;Jason Williamson
Amy Perez;Thomas Moody
Denise Nelson;James Graham
Katelyn Williams;Karen Perry
Shelby Petersen;Kevin Mathews
Jacob Matthews;Stephen Massey
Theodore Ramos;Mrs. Melanie Evans
Fernando Melton;Jean Weber
Kenneth King;Karen Johnson
Shelly Armstrong;Eric Jones
Cynthia Hawkins;Destiny Fisher
Michael Morgan;Marc Brown
Dennis Coffey;Daniel Williams
Ricky Bonilla;Jessica Zavala
Daniel Newman;Mary Franco
Denise Walker;Mary Clements
Billy Rios;Robert Bauer
Marc Brown;Andrea Hines
Bryan Hicks;Lee Neal
Wesley Burnett;Nathaniel Nguyen
Whitney Lyons;Shawn Rubio
Darlene Nichols;Henry Good
Mary Newman;Shawn Rubio
Casey Thomas;Emily White
Lee Neal;Dennis Coffey
