Solution for Genetic Algorithm Algorithm
===============================

Happiness Score: 1139.00
Execution Time: 11.99 seconds

Table Assignments:

Table 1: Anthony Stevenson, Michelle Alvarez, Justin Romero, Jason Williamson, Andrew Shields, Kristen Brooks, Christopher Huff, Daniel Cortez
Table 2: Michael Williams, Sydney Reese, Jessica Brown, Glenn Bailey, Stephen Massey, Angelica Gordon, Tonya Gonzalez, Jacob Matthews
Table 3: Richard Allen, Karen Perry, Anthony Davis, Sean Martinez, Casey Walker, Aaron Ballard MD, Joe Simmons, Melanie Howard
Table 4: Jose Mata, Andrea Hines, Karen Sanchez, Billy Rios, Mary Williams, Mrs. Melanie Evans, Shelly Armstrong, Tamara Franco
Table 5: Natalie Carlson, Charles Leonard, Heather Mack, Ashley Kennedy, Chris Alvarez, Ashley Jarvis, Nathaniel Nguyen, Brandy Dalton
Table 6: James Graham, Ms. Kristina Edwards MD, Wayne Silva, Edward Sanchez PhD, Rebecca Mullins, Aaron Perry, Thomas Gonzalez, Joseph Ross
Table 7: Dennis Coffey, Christopher Cox, Michael Robinson, Austin Spears, Destiny Fisher, Shawn Davenport, Gregory Harrison, Preston Jackson
Table 8: Robert Bauer, Brianna Osborn, Thomas Moody, Kenneth Ellis II, Stephanie Farmer MD, Jeffery White, Gabriel Watson, Daniel Williams
Table 9: Anne Munoz, Jason Mason, Patrick Humphrey, Casey Thomas, Vanessa Richardson, Jonathan Meyers, Robin Miller, Emily Barnes
Table 10: Austin Tucker, Bryan Hicks, Theresa Hernandez, Darlene Nichols, Matthew Hanson, Denise Walker, Jimmy Sutton, Sean Wise
Table 11: Alexis Medina, Jessica Zavala, Ricky Bonilla, Sydney Reyes, Robert Martin MD, Claire Collins, Daniel Tran, Michelle Giles
Table 12: Allison Johnson, Michael Parker, Brenda King, Kevin Wells, Jordan Foley, Daniel Newman, Robert Rich, Jessica Finley
Table 13: Jeffrey Nelson, Whitney Lyons, Joseph Brown, Frank Gonzalez, Wesley Burnett, Karen Johnson, Henry Good, Brian Gomez
Table 14: Holly Parker, David Reid, Mary Cochran, Shawn Rubio, Casey Reyes, Kelly Wright, Sarah Mitchell, Tammy Sherman
Table 15: Timothy Mason, Joseph Proctor, Michael Morgan, Deborah Torres, Mrs. Sue Richards, Brandy Bolton, Anthony Ross, Ann Collins
Table 16: James Lee, Angela Benton, Lee Neal, Jane Wolf, Jason Gill, Jonathon Williams, Sydney Patterson, Eric Jones
Table 17: Shelby Petersen, Breanna Massey, Pamela Fleming, Shannon Manning, Cynthia Hawkins, Sarah Gutierrez, Kimberly Snyder, Makayla Chavez
Table 18: Terry Monroe, Levi Carr, Andrea Larsen, Vincent Hickman, Mariah Mckinney, David Miles, Daniel Ray, Cindy Davila
Table 19: Steven Stewart, Luis Le, Mary Newman, Olivia Campbell, Deanna Ruiz, Rebekah Knapp, Candice Durham, Meghan Jackson
Table 20: Fernando Melton, Robert Yang, Amy Mcgee, Karen Brown, Marcus Carey, Dorothy Nelson, Jean Weber, William Reyes
Table 21: Jeremy Zimmerman, Timothy Kelley, Erica Hines, Scott Mcguire, Kevin Mathews, Robert Washington, Emily White, Jaime Fisher
Table 22: Amy Perez, Zachary Anderson, Joanna Roman, Kenneth King, Melanie Cunningham, Dr. Ryan Garcia, Michele Alexander, Kimberly Sosa
Table 23: Tyler Johnson DDS, Brittney Braun, Marc Brown, Jamie Raymond, Patrick Rosales, Alex Sanchez, Andrew Martin, Sarah Pruitt
Table 24: Joseph Nguyen, Mary Franco, Luis Carlson, Ethan Johnson, Catherine Holden, Dawn Pineda, Jacqueline Choi, Michael Powell
Table 25: Denise Nelson, Stephen Jones, Theodore Ramos, Benjamin Burke, Christopher Collins, Mary Clements, Nicole Gonzalez, Katelyn Williams
