Solution for Greedy Algorithm
===============================

Happiness Score: 1061.00
Execution Time: 1.52 seconds

Table Assignments:

Table 1: Michelle Giles, Dawn Pineda, Catherine Holden, Luis Carlson, Shelby Petersen, Ethan Johnson, Shelly Armstrong, Whitney Lyons
Table 2: Gabriel Watson, Ms. Kristina Edwards MD, Ricky Bonilla, Tyler Johnson DDS, James Graham, Aaron Perry, Henry Good, Wayne Silva
Table 3: Destiny Fisher, Joseph Brown, Claire Collins, Daniel Tran, Richard Allen, Anthony Davis, Karen Perry, Jessica Zavala
Table 4: Shawn Davenport, Stephen Massey, Jacob Matthews, Sydney Reese, Gregory Harrison, Sarah Pruitt, Michael Williams, Christopher Cox
Table 5: Casey Walker, William Reyes, Dorothy Nelson, Michele Alexander, Mary Franco, Kimberly Snyder, Tamara Franco, Alex Sanchez
Table 6: Jessica Finley, Daniel Newman, Patrick Humphrey, Fernando Melton, Brenda King, Karen Brown, Allison Johnson, Jordan Foley
Table 7: Olivia Campbell, Bryan Hicks, Sean Wise, Rebekah Knapp, Deanna Ruiz, Austin Tucker, Christopher Collins, Darlene Nichols
Table 8: Rebecca Mullins, Mary Clements, Justin Romero, Brandy Dalton, Michael Robinson, Preston Jackson, Austin Spears, Jeffrey Nelson
Table 9: Melanie Cunningham, Sarah Gutierrez, Jean Weber, Breanna Massey, Makayla Chavez, Pamela Fleming, Jessica Brown, Anne Munoz
Table 10: Kevin Wells, Michael Parker, Sean Martinez, Robert Yang, Amy Mcgee, Joe Simmons, Melanie Howard, Aaron Ballard MD
Table 11: Kenneth King, Stephanie Farmer MD, Kenneth Ellis II, Tonya Gonzalez, Glenn Bailey, Angelica Gordon, Alexis Medina, Edward Sanchez PhD
Table 12: Denise Walker, Matthew Hanson, David Miles, Scott Mcguire, Daniel Ray, Kevin Mathews, Erica Hines, Jeremy Zimmerman
Table 13: Robert Bauer, Thomas Gonzalez, Dennis Coffey, Brian Gomez, Brianna Osborn, Thomas Moody, Karen Johnson, Brittney Braun
Table 14: Candice Durham, Heather Mack, Steven Stewart, Meghan Jackson, Emily Barnes, Vanessa Richardson, Jonathan Meyers, Robin Miller
Table 15: Mary Cochran, Shawn Rubio, Mary Newman, Joseph Ross, Patrick Rosales, Daniel Cortez, Sarah Mitchell, Charles Leonard
Table 16: Jose Mata, Andrea Hines, Karen Sanchez, Michael Powell, Joseph Nguyen, Billy Rios, Mary Williams, Mrs. Melanie Evans
Table 17: Holly Parker, Casey Reyes, Tammy Sherman, Katelyn Williams, Kelly Wright, Nicole Gonzalez, Benjamin Burke, David Reid
Table 18: Robert Washington, Jane Wolf, Andrew Martin, Jaime Fisher, James Lee, Jason Gill, Eric Jones, Sydney Patterson
Table 19: Lee Neal, Angela Benton, Jonathon Williams, Shannon Manning, Ashley Jarvis, Nathaniel Nguyen, Natalie Carlson, Chris Alvarez
Table 20: Timothy Kelley, Mariah Mckinney, Andrea Larsen, Vincent Hickman, Cindy Davila, Emily White, Luis Le, Ashley Kennedy
Table 21: Terry Monroe, Levi Carr, Theodore Ramos, Stephen Jones, Denise Nelson, Jason Williamson, Andrew Shields, Jamie Raymond
Table 22: Brandy Bolton, Anthony Ross, Ann Collins, Joseph Proctor, Timothy Mason, Jimmy Sutton, Marc Brown, Theresa Hernandez
Table 23: Marcus Carey, Jason Mason, Zachary Anderson, Amy Perez, Casey Thomas, Kimberly Sosa, Dr. Ryan Garcia, Cynthia Hawkins
Table 24: Mrs. Sue Richards, Michael Morgan, Deborah Torres, Robert Rich, Christopher Huff, Anthony Stevenson, Michelle Alvarez, Kristen Brooks
Table 25: Jacqueline Choi, Jeffery White, Joanna Roman, Daniel Williams, Sydney Reyes, Robert Martin MD, Frank Gonzalez, Wesley Burnett
